ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_source
600036.SH,20250707,43.054,43.284,42.684,43.184,,,,567427.0,,tushare_legacy_get_k_data
600036.SH,20250708,43.264,43.654,43.084,43.604,43.184,0.4200000000000017,0.9725824379399818,637421.0,,tushare_legacy_get_k_data
600036.SH,20250709,43.484,43.754,43.114,43.114,43.604,-0.490000000000002,-1.1237501146683835,614566.0,,tushare_legacy_get_k_data
600036.SH,20250710,43.084,44.534,43.084,44.224,43.114,1.1099999999999994,2.5745697453263428,1219784.0,,tushare_legacy_get_k_data
600036.SH,20250711,44.264,44.484,43.604,43.624,44.224,-0.5999999999999943,-1.356729377713446,1184443.0,,tushare_legacy_get_k_data
600036.SH,20250714,43.634,44.074,43.424,43.554,43.624,-0.07000000000000028,-0.1604621309370995,648484.0,,tushare_legacy_get_k_data
600036.SH,20250715,43.754,43.904,42.784,43.204,43.554,-0.3500000000000014,-0.8036001285760238,666206.0,,tushare_legacy_get_k_data
600036.SH,20250716,43.244,43.524,42.864,43.094,43.204,-0.10999999999999943,-0.25460605499490657,468186.0,,tushare_legacy_get_k_data
600036.SH,20250717,43.084,43.314,42.894,42.984,43.094,-0.10999999999999943,-0.2552559521047,416895.0,,tushare_legacy_get_k_data
600036.SH,20250718,43.034,43.144,42.724,43.034,42.984,0.04999999999999716,0.11632235250325042,543431.0,,tushare_legacy_get_k_data
600036.SH,20250721,43.034,43.214,42.814,42.834,43.034,-0.19999999999999574,-0.4647488032718217,566412.0,,tushare_legacy_get_k_data
600036.SH,20250722,42.834,42.964,42.194,42.924,42.834,0.0899999999999963,0.21011346126907668,922319.0,,tushare_legacy_get_k_data
600036.SH,20250723,42.954,43.684,42.944,43.104,42.924,0.17999999999999972,0.4193458205199882,853249.0,,tushare_legacy_get_k_data
600036.SH,20250724,43.194,43.344,42.784,42.864,43.104,-0.240000000000002,-0.5567928730512295,826620.0,,tushare_legacy_get_k_data
600036.SH,20250725,42.824,43.154,42.734,42.814,42.864,-0.04999999999999716,-0.11664800298618226,696264.0,,tushare_legacy_get_k_data
600036.SH,20250728,42.784,43.144,42.394,42.424,42.814,-0.39000000000000057,-0.9109169897697028,635127.0,,tushare_legacy_get_k_data
600036.SH,20250729,42.424,42.784,42.124,42.124,42.424,-0.29999999999999716,-0.7071468979822675,785813.0,,tushare_legacy_get_k_data
