ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_source,entry_high,exit_low,tr,atr,signal
000776.SZ,20250707,16.82,17.01,16.79,16.95,,,,312956.0,,tushare_legacy_get_k_data,,,0.22000000000000242,,
000776.SZ,20250708,16.95,17.09,16.87,17.05,16.95,0.1000000000000014,0.5899705014749347,427708.0,,tushare_legacy_get_k_data,,,0.21999999999999886,,
000776.SZ,20250709,17.05,17.41,17.02,17.08,17.05,0.0299999999999975,0.1759530791788714,490301.0,,tushare_legacy_get_k_data,,,0.39000000000000057,,
000776.SZ,20250710,16.99,17.4,16.96,17.36,17.08,0.2800000000000011,1.639344262295089,583690.0,,tushare_legacy_get_k_data,,,0.4399999999999977,,
000776.SZ,20250711,17.43,17.89,17.31,17.59,17.36,0.2300000000000004,1.3248847926267304,898730.0,,tushare_legacy_get_k_data,,,0.5800000000000018,,
000776.SZ,20250714,17.65,17.8,17.53,17.67,17.59,0.0800000000000018,0.45480386583287,512737.0,,tushare_legacy_get_k_data,,,0.2699999999999996,,
000776.SZ,20250715,17.67,17.93,17.57,17.7,17.67,0.0299999999999975,0.1697792869269812,624269.0,,tushare_legacy_get_k_data,,,0.35999999999999943,,
000776.SZ,20250716,17.7,17.75,17.35,17.42,17.7,-0.2799999999999976,-1.5819209039547886,443088.0,,tushare_legacy_get_k_data,,,0.3999999999999986,,
000776.SZ,20250717,17.43,17.52,17.31,17.51,17.42,0.0899999999999998,0.5166475315729039,373011.0,,tushare_legacy_get_k_data,,,0.21000000000000085,,
000776.SZ,20250718,17.51,18.15,17.5,17.98,17.51,0.4699999999999988,2.6841804683038197,848365.0,,tushare_legacy_get_k_data,,,0.6499999999999986,,
000776.SZ,20250721,17.9,18.75,17.8,18.6,17.98,0.620000000000001,3.448275862068971,1031203.0,,tushare_legacy_get_k_data,,16.79,0.9499999999999993,,
000776.SZ,20250722,18.52,18.76,18.3,18.69,18.6,0.0899999999999998,0.4838709677419347,639320.0,,tushare_legacy_get_k_data,,16.87,0.46000000000000085,,
000776.SZ,20250723,18.68,19.65,18.65,19.44,18.69,0.75,4.012841091492777,1585335.0,,tushare_legacy_get_k_data,,16.96,1.0,,
000776.SZ,20250724,19.25,20.04,19.25,19.97,19.44,0.5299999999999976,2.726337448559658,1272872.0,,tushare_legacy_get_k_data,,16.96,0.7899999999999991,,
000776.SZ,20250725,19.97,20.0,19.7,19.83,19.97,-0.1400000000000005,-0.701051577366052,748978.0,,tushare_legacy_get_k_data,,17.31,0.3000000000000007,,
000776.SZ,20250728,19.82,20.3,19.65,19.92,19.83,0.0900000000000034,0.4538577912254333,899959.0,,tushare_legacy_get_k_data,,17.31,0.6500000000000021,,
000776.SZ,20250729,19.8,19.9,19.55,19.82,19.92,-0.1000000000000014,-0.5020080321285212,651293.0,,tushare_legacy_get_k_data,,17.31,0.370000000000001,,
000776.SZ,20250730,19.8,20.05,19.46,19.66,19.82,-0.1600000000000001,-0.8072653884964689,632896.0,,tushare_legacy_get_k_data,,17.31,0.5899999999999999,,
000776.SZ,20250731,19.58,19.71,18.95,19.09,19.66,-0.5700000000000003,-2.899287894201426,939463.0,,tushare_legacy_get_k_data,,17.31,0.7600000000000016,,
000776.SZ,20250801,19.11,19.79,18.95,19.24,19.09,0.1499999999999985,0.7857517024620145,922041.0,,tushare_legacy_get_k_data,,17.5,0.8399999999999999,0.43853291800049066,
000776.SZ,20250804,19.18,19.56,19.17,19.28,19.24,0.0400000000000027,0.2079002079002219,553485.0,,tushare_legacy_get_k_data,20.3,17.8,0.389999999999997,0.436106272100466,
000776.SZ,20250805,19.35,19.65,19.25,19.53,19.28,0.25,1.296680497925311,664556.0,,tushare_legacy_get_k_data,20.3,18.3,0.3999999999999986,0.4343009584954426,
000776.SZ,20250806,19.53,19.74,19.48,19.61,19.53,0.0799999999999983,0.4096262160778202,478947.0,,tushare_legacy_get_k_data,20.3,18.65,0.259999999999998,0.42558591057067036,
000776.SZ,20250807,19.56,19.79,19.4,19.46,19.61,-0.1499999999999985,-0.7649158592554747,466503.0,,tushare_legacy_get_k_data,20.3,18.95,0.39000000000000057,0.42380661504213685,
000776.SZ,20250808,19.47,19.75,19.2,19.61,19.46,0.1499999999999985,0.7708119218910512,652662.0,,tushare_legacy_get_k_data,20.3,18.95,0.5500000000000007,0.43011628429003,
000776.SZ,20250811,19.5,19.82,19.5,19.61,19.61,0.0,0.0,531487.0,,tushare_legacy_get_k_data,20.3,18.95,0.3200000000000003,0.4246104700755285,
000776.SZ,20250812,19.7,20.07,19.64,19.99,19.61,0.379999999999999,1.937786843447216,677801.0,,tushare_legacy_get_k_data,20.3,18.95,0.46000000000000085,0.4263799465717521,
000776.SZ,20250813,20.12,20.75,19.99,20.44,19.99,0.4500000000000028,2.251125562781405,1046489.0,,tushare_legacy_get_k_data,20.3,18.95,0.7600000000000016,0.4430609492431646,买入信号
