trade_date,open,high,low,close,vol
2025-07-07,257.892,260.972,250.972,252.982,174665.0
2025-07-08,252.792,257.992,251.912,255.402,155923.0
2025-07-09,254.292,266.552,254.192,262.892,293884.0
2025-07-10,267.082,267.082,260.592,264.092,242393.0
2025-07-11,263.592,266.092,262.192,263.592,213282.0
2025-07-14,263.092,263.412,258.192,260.592,149789.0
2025-07-15,260.592,264.592,258.092,259.842,169526.0
2025-07-16,260.592,260.792,255.132,256.492,156265.0
2025-07-17,257.462,259.842,256.452,257.592,145110.0
2025-07-18,260.792,264.542,257.892,263.292,221866.0
2025-07-21,269.092,274.092,265.642,271.752,324863.0
2025-07-22,272.092,282.092,271.272,278.752,333090.0
2025-07-23,280.252,282.842,278.682,279.112,200190.0
2025-07-24,281.092,281.292,275.002,277.292,223891.0
2025-07-25,277.292,277.292,273.842,274.892,134326.0
2025-07-28,275.112,281.182,273.392,278.392,238973.0
2025-07-29,278.792,284.092,278.772,283.912,233946.0
2025-07-30,284.292,284.292,268.452,269.182,415943.0
2025-07-31,272.892,274.072,256.712,256.712,447104.0
2025-08-01,256.892,258.692,254.842,255.162,252500.0
2025-08-04,255.092,260.092,253.792,258.572,237682.0
2025-08-05,259.592,261.092,255.592,257.792,219760.0
2025-08-06,257.312,258.992,255.322,257.092,153233.0
2025-08-07,257.092,258.582,254.292,255.142,165481.0
2025-08-08,256.092,258.252,254.102,255.572,174282.0
2025-08-11,255.572,258.242,254.592,255.752,213309.0
2025-08-12,255.592,257.272,249.812,255.342,222407.0
2025-08-13,256.862,267.092,256.602,265.692,394668.0
2025-08-14,268.982,274.092,266.572,271.982,371708.0
2025-08-15,270.472,274.392,268.192,272.762,241092.0
2025-08-18,272.762,277.572,270.112,275.092,285288.0
2025-08-19,275.092,276.092,268.312,269.892,244286.0
2025-08-20,270.594,273.084,265.144,272.294,233535.0
2025-08-21,272.364,274.894,271.094,272.094,182698.0
2025-08-22,272.024,282.444,271.694,280.274,264219.0
2025-08-25,283.094,286.974,279.874,283.374,312297.0
2025-08-26,280.114,284.084,278.674,282.594,230245.0
2025-08-27,282.094,282.634,271.284,271.394,382584.0
2025-08-28,269.154,272.084,265.814,270.504,304664.0
2025-08-29,271.404,309.754,271.044,299.274,780139.0
2025-09-01,299.594,299.994,292.394,297.094,429964.0
2025-09-02,297.124,304.194,292.124,295.964,371169.0
2025-09-03,296.594,304.744,296.124,302.094,508975.0
2025-09-04,306.564,316.424,293.724,297.124,657548.0
2025-09-05,292.994,318.204,292.914,318.204,708198.0
2025-09-08,327.094,330.744,316.594,318.464,588346.0
2025-09-09,315.894,327.674,310.254,313.094,434024.0
2025-09-10,311.084,315.094,306.094,309.134,367527.0
2025-09-11,308.644,316.074,302.134,315.644,380345.0
2025-09-12,318.994,322.994,315.294,318.094,338713.0
2025-09-15,339.104,364.614,337.114,347.794,718410.0
2025-09-16,349.204,352.094,341.594,346.514,377445.0
2025-09-17,349.894,374.974,347.094,370.194,543771.0
2025-09-18,367.684,373.094,353.894,359.984,518897.0
2025-09-19,358.094,368.804,354.814,361.584,339149.0
2025-09-22,363.594,365.814,355.874,363.144,285278.0
2025-09-23,361.094,370.054,353.094,361.244,348493.0
2025-09-24,364.094,373.094,359.154,373.024,383145.0
2025-09-25,369.694,395.684,369.564,385.944,466393.0
2025-09-26,385.114,393.084,373.094,373.494,362633.0
2025-09-29,379.434,392.984,379.104,390.464,389647.0
2025-09-30,389.094,401.974,389.094,395.094,330313.0
2025-10-09,393.074,417.454,392.834,402.984,412088.0
2025-10-10,394.094,396.894,372.104,375.044,533118.0
2025-10-13,355.954,377.694,355.954,367.594,471510.0
2025-10-14,374.094,378.894,348.864,351.094,496399.0
2025-10-15,351.594,362.804,347.854,362.394,369934.0
2025-10-16,360.594,366.994,357.594,361.594,276295.0
2025-10-17,360.594,368.094,350.084,351.234,319058.0
2025-10-20,358.094,361.984,352.624,359.594,284324.0
2025-10-21,366.094,374.444,356.194,368.994,446329.0
2025-10-22,368.994,371.974,361.294,365.954,219459.0
2025-10-23,366.894,371.894,362.094,369.544,239981.0
2025-10-24,373.064,380.894,371.094,378.864,320416.0
2025-10-27,386.094,386.094,369.664,379.274,404510.0
2025-10-28,379.254,386.894,376.114,379.574,287083.0
2025-10-29,379.094,393.134,377.794,393.094,344740.0
2025-10-30,399.074,402.174,389.924,391.384,343061.0
2025-10-31,391.094,399.894,381.294,381.864,340484.0
2025-11-03,380.094,385.004,368.864,379.954,263682.0
2025-11-04,376.154,379.594,367.094,372.044,239391.0
2025-11-05,365.944,386.094,365.094,381.794,311425.0
2025-11-06,383.094,392.584,381.794,387.774,234475.0
2025-11-07,386.594,390.604,381.974,388.464,165549.0
2025-11-10,391.494,393.404,376.414,377.604,238960.0
2025-11-11,379.094,387.864,377.594,378.694,193032.0
2025-11-12,383.874,386.084,377.074,379.474,212998.0
2025-11-13,378.144,414.394,378.144,408.694,562654.0
2025-11-14,400.094,407.694,396.974,397.214,241721.0
2025-11-17,381.094,385.494,375.594,383.874,476855.0
2025-11-18,382.094,391.724,374.094,378.094,395658.0
2025-11-19,378.594,391.534,378.054,384.194,292667.0
2025-11-20,387.994,388.094,370.104,372.484,336743.0
2025-11-21,368.094,376.094,363.094,363.094,316313.0
2025-11-24,366.894,367.994,360.274,363.644,228458.0
2025-11-25,368.094,372.754,363.684,365.454,206332.0
2025-11-26,368.594,368.594,363.164,365.914,189107.0
2025-11-27,366.094,371.974,363.094,364.294,222003.0
2025-11-28,363.594,368.574,359.254,366.294,203403.0
2025-12-01,367.854,376.064,367.124,376.064,267510.0
2025-12-02,376.594,378.074,370.494,373.174,163485.0
2025-12-03,373.184,376.464,368.094,369.174,139911.0
2025-12-04,372.284,376.694,368.244,376.444,191658.0
2025-12-05,380.294,382.404,375.094,382.184,232916.0
2025-12-08,383.524,388.474,378.594,385.594,216598.0
2025-12-09,384.594,385.354,379.094,380.684,186918.0
2025-12-10,378.144,381.094,370.354,375.474,194334.0
2025-12-11,377.994,391.954,376.474,382.084,282154.0
2025-12-12,385.094,386.484,378.594,384.894,240020.0
2025-12-15,384.594,388.064,378.304,378.594,182750.0
2025-12-16,379.094,382.174,371.124,371.504,191217.0
2025-12-17,369.544,377.594,368.154,376.514,222574.0
2025-12-18,372.664,374.044,363.104,365.094,296393.0
2025-12-19,367.174,370.774,363.894,367.094,175599.0
2025-12-22,369.094,371.084,361.194,364.934,254935.0
2025-12-23,365.094,373.594,364.694,371.194,236041.0
2025-12-24,371.174,371.174,365.094,368.694,210884.0
2025-12-25,367.304,367.304,362.214,366.104,203431.0
2025-12-26,366.054,371.094,363.194,367.524,257237.0
2025-12-29,367.094,367.524,361.094,362.404,241241.0
2025-12-30,360.194,364.094,359.654,362.294,190308.0
2025-12-31,362.884,365.094,360.244,360.354,160266.0
2026-01-05,363.094,371.094,361.284,370.594,336881.0
2026-01-06,373.094,373.594,362.134,367.084,341477.0
2026-01-07,366.044,368.574,361.584,364.104,262285.0
2026-01-08,361.094,366.424,360.094,362.304,269590.0
2026-01-09,362.264,370.724,360.104,362.324,314772.0
2026-01-12,361.094,361.094,344.754,354.774,488307.0
2026-01-13,359.344,360.864,350.094,352.094,296709.0
2026-01-14,353.124,354.314,344.804,347.074,380834.0
2026-01-15,345.844,351.374,344.894,346.844,323709.0
2026-01-16,351.084,354.814,344.604,345.414,319818.0
2026-01-19,344.564,348.434,338.424,341.994,338643.0
2026-01-20,343.094,350.004,340.994,342.694,354406.0
2026-01-21,345.034,350.784,342.094,342.904,393936.0
2026-01-22,344.124,346.824,332.594,338.894,459948.0
2026-01-23,341.104,343.094,336.344,340.094,339761.0
2026-01-26,345.114,345.644,334.304,335.144,332914.0
2026-01-27,337.984,337.994,327.114,332.494,322949.0
2026-01-28,330.974,337.094,326.104,333.084,463082.0
2026-01-29,333.594,338.254,331.254,334.984,338444.0
2026-01-30,341.494,346.854,337.194,343.094,486501.0
2026-02-02,350.094,351.084,337.224,342.074,391917.0
2026-02-03,342.094,345.894,336.594,341.004,265163.0
2026-02-04,344.054,359.744,340.604,358.124,485317.0
2026-02-05,358.864,359.844,349.114,356.034,284272.0
2026-02-06,352.414,365.974,351.104,362.204,393726.0
2026-02-09,363.594,365.594,355.694,361.914,274486.0
2026-02-10,358.264,363.894,357.094,358.064,185635.0
2026-02-11,359.994,364.084,357.594,361.094,196535.0
2026-02-12,363.094,370.974,361.124,368.964,277546.0
2026-02-13,368.704,370.094,358.104,358.434,223145.0
2026-02-24,365.734,366.594,355.044,355.044,226951.0
2026-02-25,356.784,359.694,353.194,355.274,187166.0
2026-02-26,349.144,351.294,336.594,339.094,435414.0
2026-02-27,340.214,342.034,335.104,335.104,254466.0
2026-03-02,334.094,337.994,329.774,333.314,283513.0
