ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_source,rsi14,macd_dif,macd_dea,macd_hist,bb_middle,bb_upper,bb_lower,kdj_k,kdj_d,kdj_j
000776.SZ,20250707,16.82,17.01,16.79,16.95,,,,312956.0,,tushare_legacy_get_k_data,,0.0,0.0,0.0,,,,57.57575757575732,52.52525252525244,67.67676767676707
000776.SZ,20250708,16.95,17.09,16.87,17.05,16.95,0.1000000000000014,0.5899705014749347,427708.0,,tushare_legacy_get_k_data,,0.007977207977209133,0.0015954415954418267,0.012763532763534613,,,,67.27272727272721,57.44107744107737,86.9360269360269
000776.SZ,20250709,17.05,17.41,17.02,17.08,17.05,0.0299999999999975,0.1759530791788714,490301.0,,tushare_legacy_get_k_data,,0.0165294112872445,0.004582235533802361,0.02389435150688428,,,,60.4398826979471,58.440679193367274,64.43828970710675
000776.SZ,20250710,16.99,17.4,16.96,17.36,17.08,0.2800000000000011,1.639344262295089,583690.0,,tushare_legacy_get_k_data,,0.04537766845280444,0.012741322117602778,0.06527269267040334,,,,70.93841642228728,62.606591603007274,87.60206606084728
000776.SZ,20250711,17.43,17.89,17.31,17.59,17.36,0.2300000000000004,1.3248847926267304,898730.0,,tushare_legacy_get_k_data,,0.08581003325826586,0.027355064345735397,0.11690993782506093,,,,71.53470185728241,65.58262835443232,83.43884886298261
000776.SZ,20250714,17.65,17.8,17.53,17.67,17.59,0.0800000000000018,0.45480386583287,512737.0,,tushare_legacy_get_k_data,,0.12289168621686741,0.0464623887199618,0.15285859499381121,,,,74.35646790485498,68.50724153790654,86.05492063875187
000776.SZ,20250715,17.67,17.93,17.57,17.7,17.67,0.0299999999999975,0.1697792869269812,624269.0,,tushare_legacy_get_k_data,,0.15293695065774315,0.06775730110751807,0.17035929910045017,,,,76.17916573773957,71.06454960451754,86.40839800418362
000776.SZ,20250716,17.7,17.75,17.35,17.42,17.7,-0.2799999999999976,-1.5819209039547886,443088.0,,tushare_legacy_get_k_data,,0.15239763418654917,0.0846853677233243,0.13542453292644974,,,,69.2071631234054,70.44542077748015,66.73064781525588
000776.SZ,20250717,17.43,17.52,17.31,17.51,17.42,0.0899999999999998,0.5166475315729039,373011.0,,tushare_legacy_get_k_data,,0.15741785479531245,0.09923186513772193,0.11637197931518103,,,,67.19074032788436,69.36052729428155,62.85116639508996
000776.SZ,20250718,17.51,18.15,17.5,17.98,17.51,0.4699999999999988,2.6841804683038197,848365.0,,tushare_legacy_get_k_data,,0.1970500178956769,0.11879549568931293,0.15650904441272792,,,,73.70007688525628,70.80704382460647,79.48614300655589
000776.SZ,20250721,17.9,18.75,17.8,18.6,17.98,0.620000000000001,3.448275862068971,1031203.0,,tushare_legacy_get_k_data,,0.27531396314074286,0.1500991891795989,0.2504295479222879,,,,79.67342183411873,73.76250316111054,91.4952591801351
000776.SZ,20250722,18.52,18.76,18.3,18.69,18.6,0.0899999999999998,0.4838709677419347,639320.0,,tushare_legacy_get_k_data,,0.3406738750775773,0.1882141263591946,0.3049194974367654,,,,85.15265159311619,77.55921930511242,100.33951616912373
000776.SZ,20250723,18.68,19.65,18.65,19.44,18.69,0.75,4.012841091492777,1585335.0,,tushare_legacy_get_k_data,,0.4478285197565519,0.24013700503866608,0.41538302943577166,,,,87.11031473729118,80.74291778250534,99.84510864686285
000776.SZ,20250724,19.25,20.04,19.25,19.97,19.44,0.5299999999999976,2.726337448559658,1272872.0,,tushare_legacy_get_k_data,,0.5689573323140777,0.30590107049374843,0.5261125236406586,,,,90.55217563682658,84.01267040061242,103.63118610925488
000776.SZ,20250725,19.97,20.0,19.7,19.83,19.97,-0.1400000000000005,-0.701051577366052,748978.0,,tushare_legacy_get_k_data,88.70967741935488,0.6462068882230909,0.3739622340396169,0.544489308366948,,,,91.13734786044847,86.38756288722443,100.63691780689655
000776.SZ,20250728,19.82,20.3,19.65,19.92,19.83,0.0900000000000034,0.4538577912254333,899959.0,,tushare_legacy_get_k_data,88.99637243047162,0.7065453506791748,0.4404788573675285,0.5321329866232926,,,,89.85522187352085,87.54344921598991,94.47876718858271
000776.SZ,20250729,19.8,19.9,19.55,19.82,19.92,-0.1000000000000014,-0.5020080321285212,651293.0,,tushare_legacy_get_k_data,86.37197965877291,0.7377900679803346,0.49994109949008975,0.4756979369804898,,,,87.88564401378535,87.65751414858839,88.34190374417929
000776.SZ,20250730,19.8,20.05,19.46,19.66,19.82,-0.1600000000000001,-0.8072653884964689,632896.0,,tushare_legacy_get_k_data,82.19551038479584,0.7410981505612391,0.5481725097043196,0.38585128171383887,,,,84.30471505680927,86.53991445132868,79.83431626777045
